fecha,valor,indicator,region
2019-03-23T00:00:00.000+01:00,669633.017,Demanda,peninsular
2019-03-24T00:00:00.000+01:00,611819.827,Demanda,peninsular
2019-03-25T00:00:00.000+01:00,717073.819,Demanda,peninsular
2019-03-26T00:00:00.000+01:00,732395.045,Demanda,peninsular
2019-03-27T00:00:00.000+01:00,735314.342,Demanda,peninsular
2019-03-28T00:00:00.000+01:00,736120.156,Demanda,peninsular
2019-03-29T00:00:00.000+01:00,733687.593,Demanda,peninsular
2019-03-30T00:00:00.000+01:00,661273.331,Demanda,peninsular
2019-03-31T00:00:00.000+01:00,595455.992,Demanda,peninsular
2019-04-01T00:00:00.000+02:00,728854.039,Demanda,peninsular
2019-04-02T00:00:00.000+02:00,740720.312,Demanda,peninsular
2019-04-03T00:00:00.000+02:00,743726.231,Demanda,peninsular
2019-04-04T00:00:00.000+02:00,746532.132,Demanda,peninsular
2019-04-05T00:00:00.000+02:00,758884.449,Demanda,peninsular
2019-04-06T00:00:00.000+02:00,683345.822,Demanda,peninsular
2019-04-07T00:00:00.000+02:00,635743.258,Demanda,peninsular
2019-04-08T00:00:00.000+02:00,745947.421,Demanda,peninsular
2019-04-09T00:00:00.000+02:00,762514.952,Demanda,peninsular
2019-04-10T00:00:00.000+02:00,759373.018,Demanda,peninsular
2019-04-11T00:00:00.000+02:00,754593.577,Demanda,peninsular
2019-04-12T00:00:00.000+02:00,737503.833,Demanda,peninsular
2019-04-13T00:00:00.000+02:00,658751.444,Demanda,peninsular
2019-04-14T00:00:00.000+02:00,606715.171,Demanda,peninsular
2019-04-15T00:00:00.000+02:00,705651.944,Demanda,peninsular
2019-04-16T00:00:00.000+02:00,712912.968,Demanda,peninsular
2019-04-17T00:00:00.000+02:00,706896.182,Demanda,peninsular
2019-04-18T00:00:00.000+02:00,633645.163,Demanda,peninsular
2019-04-19T00:00:00.000+02:00,584929.31,Demanda,peninsular
2019-04-20T00:00:00.000+02:00,598281.137,Demanda,peninsular
2019-04-21T00:00:00.000+02:00,575850.979,Demanda,peninsular
2019-04-22T00:00:00.000+02:00,622892.917,Demanda,peninsular
2019-04-23T00:00:00.000+02:00,691440.392,Demanda,peninsular
2019-04-24T00:00:00.000+02:00,737862.824,Demanda,peninsular
2019-04-25T00:00:00.000+02:00,739947.966,Demanda,peninsular
2019-04-26T00:00:00.000+02:00,722351.575,Demanda,peninsular
2019-04-27T00:00:00.000+02:00,641476.76,Demanda,peninsular
2019-04-28T00:00:00.000+02:00,580034.58,Demanda,peninsular
2019-04-29T00:00:00.000+02:00,681641.153,Demanda,peninsular
2019-04-30T00:00:00.000+02:00,693188.14,Demanda,peninsular
2019-05-01T00:00:00.000+02:00,588783.574,Demanda,peninsular
2019-05-02T00:00:00.000+02:00,674320.005,Demanda,peninsular
2019-05-03T00:00:00.000+02:00,696474.728,Demanda,peninsular
2019-05-04T00:00:00.000+02:00,634765.62,Demanda,peninsular
2019-05-05T00:00:00.000+02:00,585505.022,Demanda,peninsular
2019-05-06T00:00:00.000+02:00,691903.437,Demanda,peninsular
2019-05-07T00:00:00.000+02:00,715282.519,Demanda,peninsular
2019-05-08T00:00:00.000+02:00,720383.459,Demanda,peninsular
2019-05-09T00:00:00.000+02:00,719680.488,Demanda,peninsular
2019-05-10T00:00:00.000+02:00,714705.845,Demanda,peninsular
2019-05-11T00:00:00.000+02:00,642893.955,Demanda,peninsular
2019-05-12T00:00:00.000+02:00,589066.207,Demanda,peninsular
2019-05-13T00:00:00.000+02:00,693194.342,Demanda,peninsular
2019-05-14T00:00:00.000+02:00,716085.91,Demanda,peninsular
2019-05-15T00:00:00.000+02:00,714403.802,Demanda,peninsular
2019-05-16T00:00:00.000+02:00,723608.482,Demanda,peninsular
2019-05-17T00:00:00.000+02:00,708065.687,Demanda,peninsular
2019-05-18T00:00:00.000+02:00,633581.663,Demanda,peninsular
2019-05-19T00:00:00.000+02:00,588760.853,Demanda,peninsular
2019-05-20T00:00:00.000+02:00,693266.151,Demanda,peninsular
2019-05-21T00:00:00.000+02:00,712267.526,Demanda,peninsular
2019-05-22T00:00:00.000+02:00,720423.021,Demanda,peninsular
2019-05-23T00:00:00.000+02:00,721032.652,Demanda,peninsular
2019-05-24T00:00:00.000+02:00,717689.342,Demanda,peninsular
2019-05-25T00:00:00.000+02:00,641713.37,Demanda,peninsular
2019-05-26T00:00:00.000+02:00,586295.917,Demanda,peninsular
2019-05-27T00:00:00.000+02:00,703430.222,Demanda,peninsular
2019-05-28T00:00:00.000+02:00,723789.614,Demanda,peninsular
2019-05-29T00:00:00.000+02:00,722528.761,Demanda,peninsular
2019-05-30T00:00:00.000+02:00,719643.509,Demanda,peninsular
