value,percentage,datetime,pais,año
-2988.619,0.5,2019-04-10,andorra-frontera,2019
-4216.924,0.5,2019-04-11,andorra-frontera,2019
-4192.302,0.5,2019-04-12,andorra-frontera,2019
-3885.062,0.5,2019-04-13,andorra-frontera,2019
-3584.52,0.5,2019-04-14,andorra-frontera,2019
-4356.331,0.5,2019-04-15,andorra-frontera,2019
-4324.234,0.5,2019-04-16,andorra-frontera,2019
-4384.972,0.5,2019-04-17,andorra-frontera,2019
-3900.442,0.5,2019-04-18,andorra-frontera,2019
-3757.536,0.5,2019-04-19,andorra-frontera,2019
-3835.598,0.5,2019-04-20,andorra-frontera,2019
-3699.648,0.5,2019-04-21,andorra-frontera,2019
-3909.73,0.5,2019-04-22,andorra-frontera,2019
-4682.449,0.5,2019-04-23,andorra-frontera,2019
-4759.905,0.5,2019-04-24,andorra-frontera,2019
-4700.505,0.5,2019-04-25,andorra-frontera,2019
-4671.692,0.5,2019-04-26,andorra-frontera,2019
-4272.955,0.5,2019-04-27,andorra-frontera,2019
-3716.798,0.5,2019-04-28,andorra-frontera,2019
-4537.556,0.5,2019-04-29,andorra-frontera,2019
-4675.622,0.5,2019-04-30,andorra-frontera,2019
-3859.358,0.5,2019-05-01,andorra-frontera,2019
-4570.561,0.5,2019-05-02,andorra-frontera,2019
-4814.164,0.5,2019-05-03,andorra-frontera,2019
-4309.675,0.5,2019-05-04,andorra-frontera,2019
-4028.011,0.5,2019-05-05,andorra-frontera,2019
-4877.626,0.5,2019-05-06,andorra-frontera,2019
-4882.81,0.5,2019-05-07,andorra-frontera,2019
-4722.623,0.5,2019-05-08,andorra-frontera,2019
-4848.509,0.5,2019-05-09,andorra-frontera,2019
-4909.94,0.5,2019-05-10,andorra-frontera,2019
-4658.083,0.5,2019-05-11,andorra-frontera,2019
-3943.383,0.5,2019-05-12,andorra-frontera,2019
-4701.715,0.5,2019-05-13,andorra-frontera,2019
-4696.704,0.5,2019-05-14,andorra-frontera,2019
-4726.166,0.5,2019-05-15,andorra-frontera,2019
-4727.16,0.5,2019-05-16,andorra-frontera,2019
-4752.864,0.5,2019-05-17,andorra-frontera,2019
-4306.996,0.5,2019-05-18,andorra-frontera,2019
-3916.642,0.5,2019-05-19,andorra-frontera,2019
-4759.042,0.5,2019-05-20,andorra-frontera,2019
-4820.083,0.5,2019-05-21,andorra-frontera,2019
-4818.83,0.5,2019-05-22,andorra-frontera,2019
-4914.432,0.5,2019-05-23,andorra-frontera,2019
-4876.243,0.5,2019-05-24,andorra-frontera,2019
-4308.725,0.5,2019-05-25,andorra-frontera,2019
-3972.283,0.5,2019-05-26,andorra-frontera,2019
-4827.817,0.5,2019-05-27,andorra-frontera,2019
-4912.056,0.5,2019-05-28,andorra-frontera,2019
-4879.526,0.5,2019-05-29,andorra-frontera,2019
-4877.626,0.5,2019-05-30,andorra-frontera,2019
-4941.647,0.5,2019-05-31,andorra-frontera,2019
-4702.493,0.5,2019-06-01,andorra-frontera,2019
-4316.113,0.5,2019-06-02,andorra-frontera,2019
-5058.806,0.5,2019-06-03,andorra-frontera,2019
-5036.083,0.5,2019-06-04,andorra-frontera,2019
-5100.71,0.5,2019-06-05,andorra-frontera,2019
-5107.882,0.5,2019-06-06,andorra-frontera,2019
-5085.504,0.5,2019-06-07,andorra-frontera,2019
-4903.546,0.5,2019-06-08,andorra-frontera,2019
-4833.647,0.5,2019-06-09,andorra-frontera,2019
-5188.018,0.5,2019-06-10,andorra-frontera,2019
-5135.789,0.5,2019-06-11,andorra-frontera,2019
-5112.547,0.5,2019-06-12,andorra-frontera,2019
-5131.772,0.5,2019-06-13,andorra-frontera,2019
-5134.147,0.5,2019-06-14,andorra-frontera,2019
-5294.591,0.5,2019-06-15,andorra-frontera,2019
-4879.095,0.5,2019-06-16,andorra-frontera,2019
-5275.541,0.5,2019-06-17,andorra-frontera,2019
-5202.791,0.5,2019-06-18,andorra-frontera,2019
-5350.407,0.5,2019-06-19,andorra-frontera,2019
-5579.885,0.5,2019-06-20,andorra-frontera,2019
-5621.659,0.5,2019-06-21,andorra-frontera,2019
-5431.882,0.5,2019-06-22,andorra-frontera,2019
-5253.25,0.5,2019-06-23,andorra-frontera,2019
-5721.494,0.5,2019-06-24,andorra-frontera,2019
-5753.333,0.5,2019-06-25,andorra-frontera,2019
-6130.512,0.5,2019-06-26,andorra-frontera,2019
-6211.339,0.5,2019-06-27,andorra-frontera,2019
-6243.436,0.5,2019-06-28,andorra-frontera,2019
-6206.501,0.5,2019-06-29,andorra-frontera,2019
-5631.898,0.5,2019-06-30,andorra-frontera,2019
-6332.342,0.5,2019-07-01,andorra-frontera,2019
-6447.212,0.5,2019-07-02,andorra-frontera,2019
-6445.915,0.5,2019-07-03,andorra-frontera,2019
-6591.801,0.5,2019-07-04,andorra-frontera,2019
-6585.97,0.5,2019-07-05,andorra-frontera,2019
-6516.936,0.5,2019-07-06,andorra-frontera,2019
-6532.186,0.5,2019-07-07,andorra-frontera,2019
-6379.387,0.5,2019-07-08,andorra-frontera,2019
-6945.394,0.5,2019-07-09,andorra-frontera,2019
-6726.024,0.5,2019-07-10,andorra-frontera,2019
-6661.137,0.5,2019-07-11,andorra-frontera,2019
-6710.472,0.5,2019-07-12,andorra-frontera,2019
-6673.19,0.5,2019-07-13,andorra-frontera,2019
-5871.269,0.5,2019-07-14,andorra-frontera,2019
-6681.182,0.5,2019-07-15,andorra-frontera,2019
-6582.644,0.5,2019-07-16,andorra-frontera,2019
-6160.925,0.5,2019-07-17,andorra-frontera,2019
-6317.654,0.5,2019-07-18,andorra-frontera,2019
-6580.18,0.5,2019-07-19,andorra-frontera,2019
-6624.505,0.5,2019-07-20,andorra-frontera,2019
-6592.623,0.5,2019-07-21,andorra-frontera,2019
-6060.7,0.5,2019-07-22,andorra-frontera,2019
-6580.008,0.5,2019-07-23,andorra-frontera,2019
-6535.555,0.5,2019-07-24,andorra-frontera,2019
-6501.341,0.5,2019-07-25,andorra-frontera,2019
-6578.107,0.5,2019-07-26,andorra-frontera,2019
-6425.654,0.5,2019-07-27,andorra-frontera,2019
-6384.27,0.5,2019-07-28,andorra-frontera,2019
-6551.668,0.5,2019-07-29,andorra-frontera,2019
-6291.087,0.5,2019-07-30,andorra-frontera,2019
-6298.776,0.5,2019-07-31,andorra-frontera,2019
-6436.799,0.5,2019-08-01,andorra-frontera,2019
-6415.589,0.5,2019-08-02,andorra-frontera,2019
-6424.92,0.5,2019-08-03,andorra-frontera,2019
-6118.892,0.5,2019-08-04,andorra-frontera,2019
-6289.92,0.5,2019-08-05,andorra-frontera,2019
-6496.156,0.5,2019-08-06,andorra-frontera,2019
-6521.602,0.5,2019-08-07,andorra-frontera,2019
-6435.979,0.5,2019-08-08,andorra-frontera,2019
-6542.727,0.5,2019-08-09,andorra-frontera,2019
-6388.416,0.5,2019-08-10,andorra-frontera,2019
-6357.787,0.5,2019-08-11,andorra-frontera,2019
-6355.022,0.5,2019-08-12,andorra-frontera,2019
-6334.934,0.5,2019-08-13,andorra-frontera,2019
-5991.365,0.5,2019-08-14,andorra-frontera,2019
-5836.58,0.5,2019-08-15,andorra-frontera,2019
-6421.291,0.5,2019-08-16,andorra-frontera,2019
-6293.16,0.5,2019-08-17,andorra-frontera,2019
-6324.523,0.5,2019-08-18,andorra-frontera,2019
-6402.888,0.5,2019-08-19,andorra-frontera,2019
-6447.298,0.5,2019-08-20,andorra-frontera,2019
-4889.851,0.5,2019-08-21,andorra-frontera,2019
-6155.957,0.5,2019-08-22,andorra-frontera,2019
-6065.798,0.5,2019-08-23,andorra-frontera,2019
-5835.24,0.5,2019-08-24,andorra-frontera,2019
-5744.434,0.5,2019-08-25,andorra-frontera,2019
-5628.959,0.5,2019-08-26,andorra-frontera,2019
-3001.018,0.5,2019-08-27,andorra-frontera,2019
-3838.839,0.5,2019-08-28,andorra-frontera,2019
-6137.035,0.5,2019-08-29,andorra-frontera,2019
-6204.254,0.5,2019-08-30,andorra-frontera,2019
-5432.529,0.5,2019-08-31,andorra-frontera,2019
-5322.413,0.5,2019-09-01,andorra-frontera,2019
-6442.676,0.5,2019-09-02,andorra-frontera,2019
-6391.785,0.5,2019-09-03,andorra-frontera,2019
-6120.015,0.5,2019-09-04,andorra-frontera,2019
-6141.83,0.5,2019-09-05,andorra-frontera,2019
-5947.473,0.5,2019-09-06,andorra-frontera,2019
-5323.321,0.5,2019-09-07,andorra-frontera,2019
-4841.64,0.5,2019-09-08,andorra-frontera,2019
-5700.499,0.5,2019-09-09,andorra-frontera,2019
-3746.002,0.5,2019-09-10,andorra-frontera,2019
-2909.303,0.5,2019-09-11,andorra-frontera,2019
-4493.924,0.5,2019-09-12,andorra-frontera,2019
-2820.743,0.5,2019-09-13,andorra-frontera,2019
-3264.409,0.5,2019-09-14,andorra-frontera,2019
-5202.36,0.5,2019-09-15,andorra-frontera,2019
-5809.363,0.5,2019-09-16,andorra-frontera,2019
-5712.336,0.5,2019-09-17,andorra-frontera,2019
