fecha,valor,indicator,region
2023-03-23T00:00:00.000+01:00,664773.196,Demanda,peninsular
2023-03-24T00:00:00.000+01:00,664920.294,Demanda,peninsular
2023-03-25T00:00:00.000+01:00,595900.869,Demanda,peninsular
2023-03-26T00:00:00.000+01:00,525933.283,Demanda,peninsular
2023-03-27T00:00:00.000+02:00,642067.363,Demanda,peninsular
2023-03-28T00:00:00.000+02:00,655229.932,Demanda,peninsular
2023-03-29T00:00:00.000+02:00,657287.875,Demanda,peninsular
2023-03-30T00:00:00.000+02:00,660755.927,Demanda,peninsular
2023-03-31T00:00:00.000+02:00,660236.946,Demanda,peninsular
2023-04-01T00:00:00.000+02:00,592046.555,Demanda,peninsular
2023-04-02T00:00:00.000+02:00,548874.924,Demanda,peninsular
2023-04-03T00:00:00.000+02:00,639072.811,Demanda,peninsular
2023-04-04T00:00:00.000+02:00,652016.035,Demanda,peninsular
2023-04-05T00:00:00.000+02:00,639631.827,Demanda,peninsular
2023-04-06T00:00:00.000+02:00,564889.452,Demanda,peninsular
2023-04-07T00:00:00.000+02:00,518549.539,Demanda,peninsular
2023-04-08T00:00:00.000+02:00,531339.729,Demanda,peninsular
2023-04-09T00:00:00.000+02:00,508947.86,Demanda,peninsular
2023-04-10T00:00:00.000+02:00,562915.862,Demanda,peninsular
2023-04-11T00:00:00.000+02:00,631802.137,Demanda,peninsular
2023-04-12T00:00:00.000+02:00,660115.2,Demanda,peninsular
2023-04-13T00:00:00.000+02:00,658532.314,Demanda,peninsular
2023-04-14T00:00:00.000+02:00,664022.635,Demanda,peninsular
2023-04-15T00:00:00.000+02:00,592441.566,Demanda,peninsular
2023-04-16T00:00:00.000+02:00,547231.264,Demanda,peninsular
2023-04-17T00:00:00.000+02:00,634831.145,Demanda,peninsular
2023-04-18T00:00:00.000+02:00,654865.618,Demanda,peninsular
2023-04-19T00:00:00.000+02:00,654950.573,Demanda,peninsular
2023-04-20T00:00:00.000+02:00,656653.518,Demanda,peninsular
2023-04-21T00:00:00.000+02:00,650980.32,Demanda,peninsular
2023-04-22T00:00:00.000+02:00,590495.8,Demanda,peninsular
2023-04-23T00:00:00.000+02:00,544376.883,Demanda,peninsular
2023-04-24T00:00:00.000+02:00,633779.346,Demanda,peninsular
2023-04-25T00:00:00.000+02:00,659059.16,Demanda,peninsular
2023-04-26T00:00:00.000+02:00,661852.956,Demanda,peninsular
2023-04-27T00:00:00.000+02:00,666829.312,Demanda,peninsular
2023-04-28T00:00:00.000+02:00,661354.264,Demanda,peninsular
2023-04-29T00:00:00.000+02:00,592081.712,Demanda,peninsular
2023-04-30T00:00:00.000+02:00,542193.983,Demanda,peninsular
2023-05-01T00:00:00.000+02:00,523889.313,Demanda,peninsular
2023-05-02T00:00:00.000+02:00,622434.735,Demanda,peninsular
2023-05-03T00:00:00.000+02:00,660714.847,Demanda,peninsular
2023-05-04T00:00:00.000+02:00,665290.908,Demanda,peninsular
2023-05-05T00:00:00.000+02:00,659616.923,Demanda,peninsular
2023-05-06T00:00:00.000+02:00,590485.791,Demanda,peninsular
2023-05-07T00:00:00.000+02:00,548502.085,Demanda,peninsular
2023-05-08T00:00:00.000+02:00,642369.829,Demanda,peninsular
2023-05-09T00:00:00.000+02:00,668097.149,Demanda,peninsular
2023-05-10T00:00:00.000+02:00,663531.114,Demanda,peninsular
2023-05-11T00:00:00.000+02:00,657135.64,Demanda,peninsular
2023-05-12T00:00:00.000+02:00,656184.255,Demanda,peninsular
2023-05-13T00:00:00.000+02:00,585306.083,Demanda,peninsular
2023-05-14T00:00:00.000+02:00,542358.512,Demanda,peninsular
2023-05-15T00:00:00.000+02:00,631619.964,Demanda,peninsular
2023-05-16T00:00:00.000+02:00,651749.949,Demanda,peninsular
2023-05-17T00:00:00.000+02:00,643132.606,Demanda,peninsular
2023-05-18T00:00:00.000+02:00,651137.81,Demanda,peninsular
2023-05-19T00:00:00.000+02:00,646534.241,Demanda,peninsular
2023-05-20T00:00:00.000+02:00,576238.824,Demanda,peninsular
2023-05-21T00:00:00.000+02:00,535466.982,Demanda,peninsular
2023-05-22T00:00:00.000+02:00,639422.481,Demanda,peninsular
2023-05-23T00:00:00.000+02:00,654198.935,Demanda,peninsular
2023-05-24T00:00:00.000+02:00,650279.581,Demanda,peninsular
2023-05-25T00:00:00.000+02:00,651724.712,Demanda,peninsular
2023-05-26T00:00:00.000+02:00,638249.622,Demanda,peninsular
2023-05-27T00:00:00.000+02:00,566548.508,Demanda,peninsular
2023-05-28T00:00:00.000+02:00,521285.615,Demanda,peninsular
2023-05-29T00:00:00.000+02:00,621366.375,Demanda,peninsular
2023-05-30T00:00:00.000+02:00,638434.329,Demanda,peninsular
2023-05-31T00:00:00.000+02:00,640059.655,Demanda,peninsular
2023-06-01T00:00:00.000+02:00,649942.676,Demanda,peninsular
2023-06-02T00:00:00.000+02:00,642678.488,Demanda,peninsular
2023-06-03T00:00:00.000+02:00,571764.741,Demanda,peninsular
2023-06-04T00:00:00.000+02:00,529995.247,Demanda,peninsular
2023-06-05T00:00:00.000+02:00,632165.698,Demanda,peninsular
2023-06-06T00:00:00.000+02:00,660649.668,Demanda,peninsular
2023-06-07T00:00:00.000+02:00,675239.156,Demanda,peninsular
2023-06-08T00:00:00.000+02:00,666873.185,Demanda,peninsular
2023-06-09T00:00:00.000+02:00,657431.943,Demanda,peninsular
2023-06-10T00:00:00.000+02:00,585434.217,Demanda,peninsular
2023-06-11T00:00:00.000+02:00,546386.353,Demanda,peninsular
2023-06-12T00:00:00.000+02:00,654286.647,Demanda,peninsular
2023-06-13T00:00:00.000+02:00,671548.429,Demanda,peninsular
2023-06-14T00:00:00.000+02:00,675031.725,Demanda,peninsular
2023-06-15T00:00:00.000+02:00,685681.558,Demanda,peninsular
2023-06-16T00:00:00.000+02:00,695921.152,Demanda,peninsular
2023-06-17T00:00:00.000+02:00,627665.321,Demanda,peninsular
2023-06-18T00:00:00.000+02:00,577954.372,Demanda,peninsular
2023-06-19T00:00:00.000+02:00,684896.351,Demanda,peninsular
2023-06-20T00:00:00.000+02:00,704703.371,Demanda,peninsular
2023-06-21T00:00:00.000+02:00,714975.961,Demanda,peninsular
2023-06-22T00:00:00.000+02:00,709422.083,Demanda,peninsular
2023-06-23T00:00:00.000+02:00,705413.541,Demanda,peninsular
2023-06-24T00:00:00.000+02:00,628176.282,Demanda,peninsular
2023-06-25T00:00:00.000+02:00,616012.038,Demanda,peninsular
2023-06-26T00:00:00.000+02:00,753018.153,Demanda,peninsular
2023-06-27T00:00:00.000+02:00,772286.006,Demanda,peninsular
2023-06-28T00:00:00.000+02:00,777596.436,Demanda,peninsular
2023-06-29T00:00:00.000+02:00,771072.346,Demanda,peninsular
2023-06-30T00:00:00.000+02:00,729157.132,Demanda,peninsular
2023-07-01T00:00:00.000+02:00,646254.981,Demanda,peninsular
2023-07-02T00:00:00.000+02:00,615130.595,Demanda,peninsular
2023-07-03T00:00:00.000+02:00,741756.166,Demanda,peninsular
2023-07-04T00:00:00.000+02:00,754074.66,Demanda,peninsular
2023-07-05T00:00:00.000+02:00,756329.156,Demanda,peninsular
2023-07-06T00:00:00.000+02:00,760166.347,Demanda,peninsular
2023-07-07T00:00:00.000+02:00,752018.825,Demanda,peninsular
2023-07-08T00:00:00.000+02:00,665130.797,Demanda,peninsular
2023-07-09T00:00:00.000+02:00,628912.612,Demanda,peninsular
2023-07-10T00:00:00.000+02:00,778800.77,Demanda,peninsular
2023-07-11T00:00:00.000+02:00,820243.486,Demanda,peninsular
2023-07-12T00:00:00.000+02:00,813329.123,Demanda,peninsular
2023-07-13T00:00:00.000+02:00,799787.648,Demanda,peninsular
2023-07-14T00:00:00.000+02:00,800527.393,Demanda,peninsular
2023-07-15T00:00:00.000+02:00,698753.666,Demanda,peninsular
2023-07-16T00:00:00.000+02:00,639880.119,Demanda,peninsular
2023-07-17T00:00:00.000+02:00,781395.496,Demanda,peninsular
2023-07-18T00:00:00.000+02:00,824598.568,Demanda,peninsular
2023-07-19T00:00:00.000+02:00,837501.706,Demanda,peninsular
2023-07-20T00:00:00.000+02:00,818438.549,Demanda,peninsular
2023-07-21T00:00:00.000+02:00,780090.042,Demanda,peninsular
2023-07-22T00:00:00.000+02:00,681943.561,Demanda,peninsular
2023-07-23T00:00:00.000+02:00,646041.839,Demanda,peninsular
2023-07-24T00:00:00.000+02:00,752105.434,Demanda,peninsular
2023-07-25T00:00:00.000+02:00,721372.938,Demanda,peninsular
2023-07-26T00:00:00.000+02:00,733046.018,Demanda,peninsular
2023-07-27T00:00:00.000+02:00,748428.535,Demanda,peninsular
2023-07-28T00:00:00.000+02:00,740713.259,Demanda,peninsular
2023-07-29T00:00:00.000+02:00,680851.05,Demanda,peninsular
2023-07-30T00:00:00.000+02:00,645350.877,Demanda,peninsular
2023-07-31T00:00:00.000+02:00,736624.838,Demanda,peninsular
2023-08-01T00:00:00.000+02:00,754106.067,Demanda,peninsular
2023-08-02T00:00:00.000+02:00,767572.867,Demanda,peninsular
2023-08-03T00:00:00.000+02:00,743787.712,Demanda,peninsular
2023-08-04T00:00:00.000+02:00,689678.817,Demanda,peninsular
