fecha,valor,porcentaje,indicador,region,año
2019-01-01,123.969,0.541252439519562,Índice general,peninsular,2019
2019-02-01,114.805,0.5168881805247898,Índice general,peninsular,2019
2019-03-01,126.515,0.5418433337616172,Índice general,peninsular,2019
2019-04-01,119.432,0.5324773178180521,Índice general,peninsular,2019
2019-05-01,130.28,0.5523592285286674,Índice general,peninsular,2019
2019-06-01,128.288,0.5515011865047976,Índice general,peninsular,2019
2019-07-01,135.566,0.5755784825712223,Índice general,peninsular,2019
2019-08-01,125.668,0.5748107489994283,Índice general,peninsular,2019
2019-09-01,127.6,0.5502822568472622,Índice general,peninsular,2019
2019-10-01,129.484,0.5539683150864854,Índice general,peninsular,2019
2019-11-01,121.014,0.5336726098863541,Índice general,peninsular,2019
2019-12-01,110.193,0.534219877926397,Índice general,peninsular,2019
2019-01-01,105.072,0.4581427113386133,Índice general corregido,peninsular,2019
2019-02-01,107.303,0.4789953992167335,Índice general corregido,peninsular,2019
2019-03-01,106.975,0.4575667393780518,Índice general corregido,peninsular,2019
2019-04-01,104.863,0.4588751719881501,Índice general corregido,peninsular,2019
2019-05-01,105.581,0.4444402900760273,Índice general corregido,peninsular,2019
2019-06-01,104.328,0.4441345334105395,Índice general corregido,peninsular,2019
2019-07-01,99.964,0.423947595145544,Índice general corregido,peninsular,2019
2019-08-01,92.957,0.4195807517539985,Índice general corregido,peninsular,2019
2019-09-01,104.281,0.4432466522121416,Índice general corregido,peninsular,2019
2019-10-01,104.255,0.4441830282362817,Índice general corregido,peninsular,2019
2019-11-01,105.743,0.4625986848454971,Índice general corregido,peninsular,2019
2019-12-01,96.076,0.4587311122920701,Índice general corregido,peninsular,2019
2020-01-01,119.338,0.5404555953081834,Índice general,peninsular,2020
2020-02-01,117.101,0.5256469532039053,Índice general,peninsular,2020
2020-03-01,116.553,0.5425208065687315,Índice general,peninsular,2020
2020-04-01,91.667,0.5334004445634085,Índice general,peninsular,2020
2020-05-01,109.119,0.557742634581178,Índice general,peninsular,2020
2020-06-01,113.748,0.5548385208598563,Índice general,peninsular,2020
2020-07-01,126.425,0.5809758832395867,Índice general,peninsular,2020
2020-08-01,117.307,0.5775767840789358,Índice general,peninsular,2020
2020-09-01,121.975,0.5543259923105589,Índice general,peninsular,2020
2020-10-01,122.627,0.547173263129713,Índice general,peninsular,2020
2020-11-01,117.355,0.5338491911858362,Índice general,peninsular,2020
2020-12-01,109.048,0.5368331922099915,Índice general,peninsular,2020
2020-01-01,101.472,0.4518992796274457,Índice general corregido,peninsular,2020
2020-02-01,105.674,0.4701325367613302,Índice general corregido,peninsular,2020
2020-03-01,98.283,0.4413045086989648,Índice general corregido,peninsular,2020
2020-04-01,80.187,0.4110013723054145,Índice general corregido,peninsular,2020
2020-05-01,86.525,0.4083550158062929,Índice general corregido,peninsular,2020
2020-06-01,91.263,0.4218403625829535,Índice general corregido,peninsular,2020
2020-07-01,91.183,0.4064303906444975,Índice general corregido,peninsular,2020
2020-08-01,85.795,0.4090243367983945,Índice general corregido,peninsular,2020
2020-09-01,98.067,0.4369207653087903,Índice general corregido,peninsular,2020
2020-10-01,101.483,0.4423736147893422,Índice general corregido,peninsular,2020
2020-11-01,102.473,0.4598261450040417,Índice general corregido,peninsular,2020
