fecha,valor,indicator,region,año
2019-02-01T00:00:00.000+01:00,21280529.205,Demanda,cantabria,2019
2019-03-01T00:00:00.000+01:00,21935545.636,Demanda,cantabria,2019
2019-04-01T00:00:00.000+02:00,20692209.649,Demanda,cantabria,2019
2019-05-01T00:00:00.000+02:00,21134292.129,Demanda,cantabria,2019
2019-06-01T00:00:00.000+02:00,21258958.649,Demanda,cantabria,2019
2019-07-01T00:00:00.000+02:00,24223991.17,Demanda,cantabria,2019
2019-08-01T00:00:00.000+02:00,22710929.179,Demanda,cantabria,2019
2019-09-01T00:00:00.000+02:00,21297712.005,Demanda,cantabria,2019
2019-10-01T00:00:00.000+02:00,21454847.17,Demanda,cantabria,2019
2019-11-01T00:00:00.000+01:00,21997760.931,Demanda,cantabria,2019
2019-12-01T00:00:00.000+01:00,22110920.732,Demanda,cantabria,2019
2019-01-01T00:00:00.000+01:00,24566154.547,Demanda,castilla la mancha,2019
2019-02-01T00:00:00.000+01:00,21280529.205,Demanda,castilla la mancha,2019
2019-03-01T00:00:00.000+01:00,21935545.636,Demanda,castilla la mancha,2019
2019-04-01T00:00:00.000+02:00,20692209.649,Demanda,castilla la mancha,2019
2019-05-01T00:00:00.000+02:00,21134292.129,Demanda,castilla la mancha,2019
2019-06-01T00:00:00.000+02:00,21258958.649,Demanda,castilla la mancha,2019
2019-07-01T00:00:00.000+02:00,24223991.17,Demanda,castilla la mancha,2019
2019-08-01T00:00:00.000+02:00,22710929.179,Demanda,castilla la mancha,2019
2019-09-01T00:00:00.000+02:00,21297712.005,Demanda,castilla la mancha,2019
2019-10-01T00:00:00.000+02:00,21454847.17,Demanda,castilla la mancha,2019
2019-11-01T00:00:00.000+01:00,21997760.931,Demanda,castilla la mancha,2019
2019-12-01T00:00:00.000+01:00,22110920.732,Demanda,castilla la mancha,2019
2019-01-01T00:00:00.000+01:00,24566154.547,Demanda,castilla y leon,2019
2019-02-01T00:00:00.000+01:00,21280529.205,Demanda,castilla y leon,2019
2019-03-01T00:00:00.000+01:00,21935545.636,Demanda,castilla y leon,2019
2019-04-01T00:00:00.000+02:00,20692209.649,Demanda,castilla y leon,2019
2019-05-01T00:00:00.000+02:00,21134292.129,Demanda,castilla y leon,2019
2019-06-01T00:00:00.000+02:00,21258958.649,Demanda,castilla y leon,2019
2019-07-01T00:00:00.000+02:00,24223991.17,Demanda,castilla y leon,2019
2019-08-01T00:00:00.000+02:00,22710929.179,Demanda,castilla y leon,2019
2019-09-01T00:00:00.000+02:00,21297712.005,Demanda,castilla y leon,2019
2019-10-01T00:00:00.000+02:00,21454847.17,Demanda,castilla y leon,2019
2019-11-01T00:00:00.000+01:00,21997760.931,Demanda,castilla y leon,2019
2019-12-01T00:00:00.000+01:00,22110920.732,Demanda,castilla y leon,2019
2019-01-01T00:00:00.000+01:00,24566154.547,Demanda,cataluña,2019
2019-02-01T00:00:00.000+01:00,21280529.205,Demanda,cataluña,2019
2019-03-01T00:00:00.000+01:00,21935545.636,Demanda,cataluña,2019
2019-04-01T00:00:00.000+02:00,20692209.649,Demanda,cataluña,2019
2019-05-01T00:00:00.000+02:00,21134292.129,Demanda,cataluña,2019
