datetime,value,indicator,group,region,subregion
2019-03-09T00:00:00.000+01:00,95355.217,Hidráulica,Renovable,ccaa,region de murcia
2019-03-10T00:00:00.000+01:00,67930.593,Hidráulica,Renovable,ccaa,region de murcia
2019-03-11T00:00:00.000+01:00,93095.752,Hidráulica,Renovable,ccaa,region de murcia
2019-03-12T00:00:00.000+01:00,84070.739,Hidráulica,Renovable,ccaa,region de murcia
2019-03-13T00:00:00.000+01:00,67874.114,Hidráulica,Renovable,ccaa,region de murcia
2019-03-14T00:00:00.000+01:00,85056.201,Hidráulica,Renovable,ccaa,region de murcia
2019-03-15T00:00:00.000+01:00,98765.013,Hidráulica,Renovable,ccaa,region de murcia
2019-03-16T00:00:00.000+01:00,76181.066,Hidráulica,Renovable,ccaa,region de murcia
2019-03-17T00:00:00.000+01:00,42552.491,Hidráulica,Renovable,ccaa,region de murcia
2019-03-18T00:00:00.000+01:00,62634.501,Hidráulica,Renovable,ccaa,region de murcia
2019-03-19T00:00:00.000+01:00,63470.908,Hidráulica,Renovable,ccaa,region de murcia
2019-03-20T00:00:00.000+01:00,65301.482,Hidráulica,Renovable,ccaa,region de murcia
2019-03-21T00:00:00.000+01:00,81165.931,Hidráulica,Renovable,ccaa,region de murcia
2019-03-22T00:00:00.000+01:00,105209.649,Hidráulica,Renovable,ccaa,region de murcia
2019-03-23T00:00:00.000+01:00,74580.473,Hidráulica,Renovable,ccaa,region de murcia
2019-03-24T00:00:00.000+01:00,47572.518,Hidráulica,Renovable,ccaa,region de murcia
2019-03-25T00:00:00.000+01:00,48328.245,Hidráulica,Renovable,ccaa,region de murcia
2019-03-26T00:00:00.000+01:00,44191.178,Hidráulica,Renovable,ccaa,region de murcia
2019-03-27T00:00:00.000+01:00,49260.606,Hidráulica,Renovable,ccaa,region de murcia
2019-03-28T00:00:00.000+01:00,60620.753,Hidráulica,Renovable,ccaa,region de murcia
2019-03-29T00:00:00.000+01:00,72619.928,Hidráulica,Renovable,ccaa,region de murcia
2019-03-30T00:00:00.000+01:00,50638.578,Hidráulica,Renovable,ccaa,region de murcia
2019-03-31T00:00:00.000+01:00,61880.832,Hidráulica,Renovable,ccaa,region de murcia
2019-04-01T00:00:00.000+02:00,86710.531,Hidráulica,Renovable,ccaa,region de murcia
2019-04-02T00:00:00.000+02:00,83164.935,Hidráulica,Renovable,ccaa,region de murcia
2019-04-03T00:00:00.000+02:00,65400.943,Hidráulica,Renovable,ccaa,region de murcia
2019-04-04T00:00:00.000+02:00,62710.157,Hidráulica,Renovable,ccaa,region de murcia
2019-04-05T00:00:00.000+02:00,73535.245,Hidráulica,Renovable,ccaa,region de murcia
2019-04-06T00:00:00.000+02:00,55856.409,Hidráulica,Renovable,ccaa,region de murcia
2019-04-07T00:00:00.000+02:00,50757.459,Hidráulica,Renovable,ccaa,region de murcia
2019-04-08T00:00:00.000+02:00,59284.298,Hidráulica,Renovable,ccaa,region de murcia
2019-04-09T00:00:00.000+02:00,55846.571,Hidráulica,Renovable,ccaa,region de murcia
2019-04-10T00:00:00.000+02:00,57950.714,Hidráulica,Renovable,ccaa,region de murcia
2019-04-11T00:00:00.000+02:00,66323.71,Hidráulica,Renovable,ccaa,region de murcia
2019-04-12T00:00:00.000+02:00,65634.563,Hidráulica,Renovable,ccaa,region de murcia
2019-04-13T00:00:00.000+02:00,56056.423,Hidráulica,Renovable,ccaa,region de murcia
2019-04-14T00:00:00.000+02:00,49512.139,Hidráulica,Renovable,ccaa,region de murcia
2019-04-15T00:00:00.000+02:00,59450.39,Hidráulica,Renovable,ccaa,region de murcia
2019-04-16T00:00:00.000+02:00,67173.002,Hidráulica,Renovable,ccaa,region de murcia
2019-04-17T00:00:00.000+02:00,75126.82,Hidráulica,Renovable,ccaa,region de murcia
2019-04-18T00:00:00.000+02:00,72748.267,Hidráulica,Renovable,ccaa,region de murcia
2019-04-19T00:00:00.000+02:00,51486.163,Hidráulica,Renovable,ccaa,region de murcia
2019-04-20T00:00:00.000+02:00,48578.534,Hidráulica,Renovable,ccaa,region de murcia
2019-04-21T00:00:00.000+02:00,57292.882,Hidráulica,Renovable,ccaa,region de murcia
2019-04-22T00:00:00.000+02:00,58267.131,Hidráulica,Renovable,ccaa,region de murcia
