fecha,valor,tipo,energia,region
2019-01-04,543.3080455,Generación no renovable,No-Renovable,peninsular
2019-01-05,6.698162999999999,Residuos no renovables,No-Renovable,peninsular
2019-01-05,42.937795,Saldo I. internacionales,Demanda,peninsular
2019-01-05,86.777689,Carbón,No-Renovable,peninsular
2019-01-05,-1.153945,Consumo bombeo,Almacenamiento,peninsular
2019-01-05,464.816536,Generación no renovable,No-Renovable,peninsular
2019-01-05,116.501377,Eólica,Renovable,peninsular
2019-01-05,2.678894,Residuos renovables,Renovable,peninsular
2019-01-05,-0.897327,Saldo almacenamiento,Almacenamiento,peninsular
2019-01-05,150.843671,Nuclear,No-Renovable,peninsular
2019-01-05,58.822692,Hidráulica,Renovable,peninsular
2019-01-05,0.014331,Hidroeólica,Renovable,peninsular
2019-01-05,721.029651,Demanda en b.c.,Demanda,peninsular
2019-01-05,7.076046,Turbina de vapor,No-Renovable,peninsular
2019-01-05,9.411312,Otras renovables,Renovable,peninsular
2019-01-05,7.205657,Solar térmica,Renovable,peninsular
2019-01-05,19.538384,Solar fotovoltaica,Renovable,peninsular
2019-01-05,117.718032,Ciclo combinado,No-Renovable,peninsular
2019-01-05,85.81353299999999,Cogeneración,No-Renovable,peninsular
2019-01-05,1.747986,Turbina de gas,No-Renovable,peninsular
2019-01-05,0.256618,Turbinación bombeo,Almacenamiento,peninsular
2019-01-05,214.172647,Generación renovable,Renovable,peninsular
2019-01-05,8.141416,Motores diésel,No-Renovable,peninsular
2019-01-06,0.734659,Turbina de gas,No-Renovable,peninsular
2019-01-06,6.5133525,Residuos no renovables,No-Renovable,peninsular
2019-01-06,245.9038295,Generación renovable,Renovable,peninsular
2019-01-06,7.01448,Turbina de vapor,No-Renovable,peninsular
2019-01-06,83.436809,Cogeneración,No-Renovable,peninsular
2019-01-06,164.526243,Eólica,Renovable,peninsular
2019-01-06,414.5175675,Generación no renovable,No-Renovable,peninsular
2019-01-06,9.39349,Otras renovables,Renovable,peninsular
2019-01-06,0.02278,Hidroeólica,Renovable,peninsular
2019-01-06,7.388298,Motores diésel,No-Renovable,peninsular
2019-01-06,-12.234845,Saldo almacenamiento,Almacenamiento,peninsular
2019-01-06,169.595129,Nuclear,No-Renovable,peninsular
2019-01-06,2.4467175,Residuos renovables,Renovable,peninsular
2019-01-06,71.507561,Ciclo combinado,No-Renovable,peninsular
2019-01-06,13.585616,Saldo I. internacionales,Demanda,peninsular
2019-01-06,7.466394,Solar térmica,Renovable,peninsular
2019-01-06,-13.742446,Consumo bombeo,Almacenamiento,peninsular
2019-01-06,1.5076010000000002,Turbinación bombeo,Almacenamiento,peninsular
2019-01-06,68.32727899999999,Carbón,No-Renovable,peninsular
2019-01-06,19.983458,Solar fotovoltaica,Renovable,peninsular
2019-01-06,42.064747,Hidráulica,Renovable,peninsular
2019-01-06,661.7721680000001,Demanda en b.c.,Demanda,peninsular
2019-01-07,268.6244285,Generación renovable,Renovable,peninsular
2019-01-07,764.9207710000001,Demanda en b.c.,Demanda,peninsular
2019-01-07,100.357868,Carbón,No-Renovable,peninsular
2019-01-07,87.503507,Cogeneración,No-Renovable,peninsular
2019-01-07,6.618115,Turbina de vapor,No-Renovable,peninsular
2019-01-07,6.6597115,Residuos no renovables,No-Renovable,peninsular
2019-01-07,-7.03193,Consumo bombeo,Almacenamiento,peninsular
2019-01-07,170.64781,Nuclear,No-Renovable,peninsular
2019-01-07,120.242182,Ciclo combinado,No-Renovable,peninsular
2019-01-07,19.527623,Solar fotovoltaica,Renovable,peninsular
2019-01-07,162.82447399999998,Eólica,Renovable,peninsular
2019-01-07,-0.059014,Saldo I. internacionales,Demanda,peninsular
2019-01-07,0.021227,Hidroeólica,Renovable,peninsular
2019-01-07,66.70837300000001,Hidráulica,Renovable,peninsular
2019-01-07,2.747252,Turbinación bombeo,Almacenamiento,peninsular
2019-01-07,0.950964,Turbina de gas,No-Renovable,peninsular
2019-01-07,7.795089,Solar térmica,Renovable,peninsular
2019-01-07,-4.284678,Saldo almacenamiento,Almacenamiento,peninsular
2019-01-07,7.659877000000001,Motores diésel,No-Renovable,peninsular
2019-01-07,9.410737,Otras renovables,Renovable,peninsular
2019-01-07,2.3369055,Residuos renovables,Renovable,peninsular
2019-01-07,500.6400344999999,Generación no renovable,No-Renovable,peninsular
2019-01-08,6.4247950000000005,Turbina de vapor,No-Renovable,peninsular
2019-01-08,6.331672999999999,Residuos no renovables,No-Renovable,peninsular
2019-01-08,7.953066,Motores diésel,No-Renovable,peninsular
2019-01-08,2.261725,Residuos renovables,Renovable,peninsular
2019-01-08,8.068181,Solar térmica,Renovable,peninsular
2019-01-08,-6.405598,Consumo bombeo,Almacenamiento,peninsular
2019-01-08,125.930025,Carbón,No-Renovable,peninsular
2019-01-08,9.069504,Otras renovables,Renovable,peninsular
2019-01-08,90.474604,Cogeneración,No-Renovable,peninsular
2019-01-08,29.32503,Saldo I. internacionales,Demanda,peninsular
2019-01-08,1.712777,Turbina de gas,No-Renovable,peninsular
2019-01-08,170.546432,Nuclear,No-Renovable,peninsular
2019-01-08,131.10433799999998,Ciclo combinado,No-Renovable,peninsular
2019-01-08,8.149863999999999,Turbinación bombeo,Almacenamiento,peninsular
2019-01-08,68.044833,Hidráulica,Renovable,peninsular
2019-01-08,166.506611,Eólica,Renovable,peninsular
2019-01-08,0.009254,Hidroeólica,Renovable,peninsular
2019-01-08,273.012079,Generación renovable,Renovable,peninsular
2019-01-08,844.559085,Demanda en b.c.,Demanda,peninsular
2019-01-08,540.47771,Generación no renovable,No-Renovable,peninsular
2019-01-08,1.7442659999999997,Saldo almacenamiento,Almacenamiento,peninsular
2019-01-08,19.051971,Solar fotovoltaica,Renovable,peninsular
2019-01-09,7.853846,Solar térmica,Renovable,peninsular
2019-01-09,0.005589,Hidroeólica,Renovable,peninsular
2019-01-09,10.130536,Otras renovables,Renovable,peninsular
2019-01-09,339.98206050000005,Generación renovable,Renovable,peninsular
2019-01-09,1.597174,Turbina de gas,No-Renovable,peninsular
2019-01-09,48.716673,Hidráulica,Renovable,peninsular
2019-01-09,170.649386,Nuclear,No-Renovable,peninsular
2019-01-09,846.151453,Demanda en b.c.,Demanda,peninsular
2019-01-09,8.46199,Motores diésel,No-Renovable,peninsular
2019-01-09,130.161965,Carbón,No-Renovable,peninsular
2019-01-09,507.0567235,Generación no renovable,No-Renovable,peninsular
2019-01-09,2.3137625,Residuos renovables,Renovable,peninsular
2019-01-09,4.448324,Saldo I. internacionales,Demanda,peninsular
2019-01-09,252.314914,Eólica,Renovable,peninsular
2019-01-09,2.988945,Turbinación bombeo,Almacenamiento,peninsular
2019-01-09,18.64674,Solar fotovoltaica,Renovable,peninsular
2019-01-09,6.4944880000000005,Turbina de vapor,No-Renovable,peninsular
2019-01-09,6.3963375,Residuos no renovables,No-Renovable,peninsular
2019-01-09,93.395247,Ciclo combinado,No-Renovable,peninsular
2019-01-09,-5.335655000000001,Saldo almacenamiento,Almacenamiento,peninsular
2019-01-09,89.900136,Cogeneración,No-Renovable,peninsular
2019-01-09,-8.3246,Consumo bombeo,Almacenamiento,peninsular
2019-01-10,110.701377,Ciclo combinado,No-Renovable,peninsular
2019-01-10,363.27636400000006,Generación renovable,Renovable,peninsular
2019-01-10,1.7528520000000007,Saldo almacenamiento,Almacenamiento,peninsular
2019-01-10,62.288159,Hidráulica,Renovable,peninsular
2019-01-10,8.158607,Solar térmica,Renovable,peninsular
2019-01-10,91.180152,Cogeneración,No-Renovable,peninsular
2019-01-10,10.440391,Otras renovables,Renovable,peninsular
2019-01-10,1.827819,Turbina de gas,No-Renovable,peninsular
2019-01-10,170.640675,Nuclear,No-Renovable,peninsular
2019-01-10,5.836066,Turbina de vapor,No-Renovable,peninsular
2019-01-10,0.023468,Hidroeólica,Renovable,peninsular
2019-01-10,259.862545,Eólica,Renovable,peninsular
2019-01-10,505.236602,Generación no renovable,No-Renovable,peninsular
2019-01-10,-4.476864,Consumo bombeo,Almacenamiento,peninsular
2019-01-10,6.798959,Residuos no renovables,No-Renovable,peninsular
2019-01-10,-12.942694,Saldo I. internacionales,Demanda,peninsular
2019-01-10,2.536205,Residuos renovables,Renovable,peninsular
2019-01-10,19.966989,Solar fotovoltaica,Renovable,peninsular
2019-01-10,109.655674,Carbón,No-Renovable,peninsular
2019-01-10,857.323124,Demanda en b.c.,Demanda,peninsular
2019-01-10,8.59588,Motores diésel,No-Renovable,peninsular
2019-01-10,6.229716000000001,Turbinación bombeo,Almacenamiento,peninsular
2019-01-11,92.024398,Cogeneración,No-Renovable,peninsular
2019-01-11,330.474799,Generación renovable,Renovable,peninsular
